Date,Level
03/01/1881,176.925
04/01/1881,176.931
05/01/1881,177.028
06/01/1881,177.08
07/01/1881,177.126
08/01/1881,177.074
09/01/1881,177.025
10/01/1881,177.102
11/01/1881,177.141
12/01/1881,177.089
01/01/1882,177.044
02/01/1882,176.974
03/01/1882,177.016
04/01/1882,177.083
05/01/1882,177.135
06/01/1882,177.205
07/01/1882,177.248
08/01/1882,177.266
09/01/1882,177.23
10/01/1882,177.16
11/01/1882,177.102
12/01/1882,177.038
01/01/1883,176.98
02/01/1883,176.961
03/01/1883,176.974
04/01/1883,176.977
05/01/1883,177.15
06/01/1883,177.278
07/01/1883,177.425
08/01/1883,177.486
09/01/1883,177.388
10/01/1883,177.288
11/01/1883,177.321
12/01/1883,177.288
01/01/1884,177.23
02/01/1884,177.184
03/01/1884,177.196
04/01/1884,177.291
05/01/1884,177.358
06/01/1884,177.376
07/01/1884,177.4
08/01/1884,177.364
09/01/1884,177.257
10/01/1884,177.306
11/01/1884,177.199
12/01/1884,177.12
01/01/1885,177.202
02/01/1885,177.175
03/01/1885,177.175
04/01/1885,177.208
05/01/1885,177.33
06/01/1885,177.419
07/01/1885,177.437
08/01/1885,177.483
09/01/1885,177.452
10/01/1885,177.382
11/01/1885,177.324
12/01/1885,177.263
01/01/1886,177.263
02/01/1886,177.285
03/01/1886,177.342
04/01/1886,177.431
05/01/1886,177.531
06/01/1886,177.589
07/01/1886,177.51
08/01/1886,177.464
09/01/1886,177.409
10/01/1886,177.37
11/01/1886,177.288
12/01/1886,177.19
01/01/1887,177.138
02/01/1887,177.196
03/01/1887,177.26
04/01/1887,177.233
05/01/1887,177.294
06/01/1887,177.33
07/01/1887,177.355
08/01/1887,177.291
09/01/1887,177.184
10/01/1887,177.117
11/01/1887,176.98
12/01/1887,176.891
01/01/1888,176.858
02/01/1888,176.83
03/01/1888,176.882
04/01/1888,176.925
05/01/1888,177.059
06/01/1888,177.15
07/01/1888,177.16
08/01/1888,177.172
09/01/1888,177.08
10/01/1888,176.992
11/01/1888,176.937
12/01/1888,176.873
01/01/1889,176.83
02/01/1889,176.806
03/01/1889,176.8
04/01/1889,176.779
05/01/1889,176.821
06/01/1889,176.922
07/01/1889,177.001
08/01/1889,176.983
09/01/1889,176.931
10/01/1889,176.818
11/01/1889,176.715
12/01/1889,176.666
01/01/1890,176.687
02/01/1890,176.651
03/01/1890,176.644
04/01/1890,176.687
05/01/1890,176.782
06/01/1890,176.913
07/01/1890,176.971
08/01/1890,176.971
09/01/1890,176.888
10/01/1890,176.824
11/01/1890,176.763
12/01/1890,176.675
01/01/1891,176.611
02/01/1891,176.577
03/01/1891,176.568
04/01/1891,176.669
05/01/1891,176.742
06/01/1891,176.727
07/01/1891,176.736
08/01/1891,176.705
09/01/1891,176.647
10/01/1891,176.535
11/01/1891,176.44
12/01/1891,176.422
01/01/1892,176.428
02/01/1892,176.41
03/01/1892,176.428
04/01/1892,176.455
05/01/1892,176.492
06/01/1892,176.654
07/01/1892,176.742
08/01/1892,176.766
09/01/1892,176.715
10/01/1892,176.651
11/01/1892,176.55
12/01/1892,176.477
01/01/1893,176.401
02/01/1893,176.385
03/01/1893,176.41
04/01/1893,176.526
05/01/1893,176.708
06/01/1893,176.818
07/01/1893,176.861
08/01/1893,176.818
09/01/1893,176.727
10/01/1893,176.669
11/01/1893,176.593
12/01/1893,176.529
01/01/1894,176.519
02/01/1894,176.523
03/01/1894,176.568
04/01/1894,176.638
05/01/1894,176.76
06/01/1894,176.852
07/01/1894,176.897
08/01/1894,176.815
09/01/1894,176.757
10/01/1894,176.684
11/01/1894,176.626
12/01/1894,176.535
01/01/1895,176.462
02/01/1895,176.422
03/01/1895,176.425
04/01/1895,176.452
05/01/1895,176.507
06/01/1895,176.529
07/01/1895,176.523
08/01/1895,176.492
09/01/1895,176.449
10/01/1895,176.364
11/01/1895,176.245
12/01/1895,176.172
01/01/1896,176.193
02/01/1896,176.23
03/01/1896,176.199
04/01/1896,176.209
05/01/1896,176.33
06/01/1896,176.443
07/01/1896,176.462
08/01/1896,176.474
09/01/1896,176.416
10/01/1896,176.358
11/01/1896,176.315
12/01/1896,176.279
01/01/1897,176.303
02/01/1897,176.276
03/01/1897,176.309
04/01/1897,176.419
05/01/1897,176.596
06/01/1897,176.669
07/01/1897,176.724
08/01/1897,176.727
09/01/1897,176.647
10/01/1897,176.541
11/01/1897,176.492
12/01/1897,176.41
01/01/1898,176.367
02/01/1898,176.385
03/01/1898,176.455
04/01/1898,176.605
05/01/1898,176.641
06/01/1898,176.69
07/01/1898,176.721
08/01/1898,176.687
09/01/1898,176.629
10/01/1898,176.535
11/01/1898,176.51
12/01/1898,176.452
01/01/1899,176.373
02/01/1899,176.33
03/01/1899,176.376
04/01/1899,176.428
05/01/1899,176.596
06/01/1899,176.711
07/01/1899,176.8
08/01/1899,176.772
09/01/1899,176.711
10/01/1899,176.587
11/01/1899,176.544
12/01/1899,176.486
1/1/1900,176.416
2/1/1900,176.419
3/1/1900,176.431
4/1/1900,176.465
5/1/1900,176.51
6/1/1900,176.562
7/1/1900,176.638
8/1/1900,176.666
9/1/1900,176.69
10/1/1900,176.672
11/1/1900,176.672
12/1/1900,176.611
1/1/1901,176.538
2/1/1901,176.495
3/1/1901,176.492
4/1/1901,176.632
5/1/1901,176.715
6/1/1901,176.742
7/1/1901,176.791
8/1/1901,176.803
9/1/1901,176.733
10/1/1901,176.666
11/1/1901,176.596
12/1/1901,176.498
1/1/1902,176.465
2/1/1902,176.407
3/1/1902,176.382
4/1/1902,176.437
5/1/1902,176.513
6/1/1902,176.614
7/1/1902,176.696
8/1/1902,176.721
9/1/1902,176.623
10/1/1902,176.547
11/1/1902,176.519
12/1/1902,176.443
1/1/1903,176.385
2/1/1903,176.401
3/1/1903,176.44
4/1/1903,176.547
5/1/1903,176.587
6/1/1903,176.638
7/1/1903,176.693
8/1/1903,176.69
9/1/1903,176.708
10/1/1903,176.718
11/1/1903,176.59
12/1/1903,176.501
1/1/1904,176.437
2/1/1904,176.437
3/1/1904,176.489
4/1/1904,176.657
5/1/1904,176.757
6/1/1904,176.897
7/1/1904,176.937
8/1/1904,176.931
9/1/1904,176.879
10/1/1904,176.852
11/1/1904,176.754
12/1/1904,176.617
1/1/1905,176.58
2/1/1905,176.556
3/1/1905,176.553
4/1/1905,176.666
5/1/1905,176.754
6/1/1905,176.891
7/1/1905,176.946
8/1/1905,176.943
9/1/1905,176.913
10/1/1905,176.843
11/1/1905,176.754
12/1/1905,176.675
1/1/1906,176.629
2/1/1906,176.678
3/1/1906,176.699
4/1/1906,176.754
5/1/1906,176.836
6/1/1906,176.876
7/1/1906,176.913
8/1/1906,176.882
9/1/1906,176.812
10/1/1906,176.736
11/1/1906,176.678
12/1/1906,176.669
1/1/1907,176.663
2/1/1907,176.672
3/1/1907,176.672
4/1/1907,176.739
5/1/1907,176.794
6/1/1907,176.888
7/1/1907,176.964
8/1/1907,176.919
9/1/1907,176.897
10/1/1907,176.833
11/1/1907,176.718
12/1/1907,176.654
1/1/1908,176.623
2/1/1908,176.596
3/1/1908,176.641
4/1/1908,176.724
5/1/1908,176.849
6/1/1908,176.952
7/1/1908,177.001
8/1/1908,176.974
9/1/1908,176.852
10/1/1908,176.727
11/1/1908,176.605
12/1/1908,176.535
1/1/1909,176.434
2/1/1909,176.44
3/1/1909,176.474
4/1/1909,176.507
5/1/1909,176.693
6/1/1909,176.788
7/1/1909,176.806
8/1/1909,176.772
9/1/1909,176.705
10/1/1909,176.583
11/1/1909,176.498
12/1/1909,176.486
1/1/1910,176.462
2/1/1910,176.459
3/1/1910,176.462
4/1/1910,176.492
5/1/1910,176.583
6/1/1910,176.626
7/1/1910,176.599
8/1/1910,176.571
9/1/1910,176.535
10/1/1910,176.495
11/1/1910,176.419
12/1/1910,176.327
1/1/1911,176.276
2/1/1911,176.266
3/1/1911,176.266
